,id,created_at,user_screen_name,user_followers_count,user_location,user_verified,user_friends_count,user_listed_count,user_favourites_count,user_statuses_count,user_geo_enabled,Hashtags,text,,
0,990750905657057280,2018-04-30 00:33:17,ZulZain14,0,,False,77,0,1,337,False,"[{'indices': [117, 125], 'text': 'iPhone8'}]","RT @StreamMe: We're excited to announce our newest giveaway! Make sure to follow the instructions below, good luck. #iPhone8 &amp; 2,800 #Fort…",,
1,990750280122695682,2018-04-30 00:30:48,iPhone8andx,1906,United States,False,56,5,19,9906,False,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [37, 45], 'text': 'iPhone8'}, {'indices': [107, 116], 'text': 'Giveaway'}, {'indices': [117, 123], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp;amp; #iPhone8 ?? just RETWEET &amp;amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone…,,
2,990749665065828352,2018-04-30 00:28:22,sp_wallpaper,515,Web,False,30,59,0,33146,False,"[{'indices': [74, 82], 'text': 'iphone8'}, {'indices': [83, 93], 'text': 'wallpaper'}]",SmartPhone Wallpaper info:Bicycle road bike green #iphone8 #wallpaper,,
3,990749311578198016,2018-04-30 00:26:57,iPhone_wp_sc_en,4115,,False,512,53,0,30631,False,"[{'indices': [48, 56], 'text': 'iphone8'}, {'indices': [57, 67], 'text': 'wallpaper'}]",Bicycle road bike green #iphone8 #wallpaper,,
4,990748829246001152,2018-04-30 00:25:02,ImJayRodriguez6,73,"Orlando, FL",False,495,1,880,4904,True,"[{'indices': [32, 40], 'text': 'iPhoneX'}, {'indices': [115, 121], 'text': 'apple'}, {'indices': [122, 130], 'text': 'gadgets'}]",RT @techeblog: This is what the #iPhoneX would look like with a triple camera lens system. #apple #gadgets #technol…,,
5,990745461639217152,2018-04-30 00:11:39,iam_walesaucez,269,ABJ,False,575,0,987,3407,False,[],RT @SleekAyodeji: @femi_golden on this one. iPhone8.. Order came thru from Lagos to Ibadan.... Sure deal... ?? ?,,
6,990743282765283328,2018-04-30 00:03:00,iPhone8andx,1906,United States,False,56,5,19,9906,False,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [33, 41], 'text': 'iPhone8'}, {'indices': [99, 108], 'text': 'Giveaway'}, {'indices': [109, 115], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone 12,,
7,990742582622814208,2018-04-30 00:00:13,eversobling,709,,False,1358,4,0,6029,False,"[{'indices': [74, 82], 'text': 'iPhone8'}, {'indices': [83, 91], 'text': 'iPhoneX'}, {'indices': [92, 103], 'text': 'BlingBling'}]",Sparkling Flower Bling Swarovski Crystal iPhone 8 and iPhone 8 Plus Case #iPhone8 #iPhoneX #BlingBling Click here…,,
8,990740633206820864,2018-04-29 23:52:28,SteveRoborts,7,"London, England",False,77,0,20,354,False,"[{'indices': [62, 70], 'text': 'iPhone8'}, {'indices': [77, 89], 'text': 'iPhone8Plus'}]",RT @kalluxrz: My first iPhone 8 Giveaway ?? Win the brand new #iPhone8 &amp; #iPhone8Plus! To win just retweet this post &amp; follow us. Winners w…,,
9,990738664282976256,2018-04-29 23:44:39,conwayphoto,7,Kootenay Rockies,False,112,0,22,28,False,"[{'indices': [0, 17], 'text': 'NightPhotography'}, {'indices': [19, 44], 'text': 'WellingtonRailwayStation'}, {'indices': [51, 58], 'text': 'iphone'}, {'indices': [76, 88], 'text': 'photography'}, {'indices': [89, 108], 'text': 'digitalphotography'}]",#NightPhotography #WellingtonRailwayStation using #iphone and Camera+ app. #photography #digitalphotography…,,
10,990738543713468416,2018-04-29 23:44:10,chmayer,2170,"OC (near Coast), CA, USA??",False,3423,168,234713,140068,False,"[{'indices': [88, 95], 'text': 'Cactus'}, {'indices': [96, 109], 'text': 'FlowerReport'}, {'indices': [110, 121], 'text': 'succulents'}, {'indices': [122, 131], 'text': 'NoFilter'}, {'indices': [132, 139], 'text': 'ElPaso'}]",RT @egon7320: My cactus bloomed on Friday and I took this picture as soon as I saw it! #Cactus #FlowerReport #succulents #NoFilter #ElPaso…,,
11,990735191168638976,2018-04-29 23:30:51,iPhone8andx,1906,United States,False,56,5,19,9906,False,"[{'indices': [0, 4], 'text': 'Win'}, {'indices': [18, 26], 'text': 'iPhoneX'}, {'indices': [33, 41], 'text': 'iPhone8'}, {'indices': [99, 108], 'text': 'Giveaway'}, {'indices': [109, 115], 'text': 'Phone'}]",#Win one of these #iPhoneX &amp; #iPhone8 ?? just RETWEET &amp; FOLLOW us COMMENT THE ONE YOU WANT #Giveaway #Phone 11,,
